URI	Nom du Fichier	P102 has title	"P4 has time-span 
U8 foresees time span"	Similarité
				
				
MEME TIRE – DATE DIFFERENTE				
<http://data.doremus.org/performance/1d14e38a-d407-3b61-aee4-695e6e5a086b>	14247.ttl	Les Dissonances - David Grimal	2015-02-09T20:30	Similarité :1.0
<http://data.doremus.org/performance/7966c253-0cd2-39a7-bd27-21a34e5a75fa>	1062228.ttl	Les Dissonances, David Grimal	2017-01-30T20:30	
				
<http://data.doremus.org/performance/1d14e38a-d407-3b61-aee4-695e6e5a086b>	14247.ttl	Les Dissonances - David Grimal	2015-02-09T20:30	Similarité :1.0
<http://data.doremus.org/performance/4280cb11-94bb-3fd2-827c-4adcff8d8fd7>	1023315.ttl	Les Dissonances, David Grimal	2014-10-21T20:00	
				
<http://data.doremus.org/performance/1d14e38a-d407-3b61-aee4-695e6e5a086b>	14247.ttl	Les Dissonances - David Grimal	2015-02-09T20:30	Similarité :1.0
<http://data.doremus.org/performance/850618f8-2702-33f6-a43a-5c85c4c29c65>	1033088.ttl	Les Dissonances. David Grimal	2015-04-01T20:30	
				
<http://data.doremus.org/performance/1d14e38a-d407-3b61-aee4-695e6e5a086b>	14247.ttl	Les Dissonances - David Grimal	2015-02-09T20:30	Similarité :1.0
<http://data.doremus.org/performance/1386ad04-a768-3b93-af13-980357c76121>	1040876.ttl	Les Dissonances : David Grimal	2015-10-06T20:30	
				
<http://data.doremus.org/performance/1a56e637-367d-353c-b28b-e55090faf32a>	15268.ttl	Chamber Orchestra of Europe	2016-03-22T20:30	Similarité :1.0
<http://data.doremus.org/performance/eae12303-fb63-3a1a-bf55-6d9cc8aed1de>	0240336.ttl	Chamber orchestra of Europe	2018-03-29T21:50	
				
<http://data.doremus.org/performance/1a56e637-367d-353c-b28b-e55090faf32a>	15268.ttl	Chamber Orchestra of Europe	2016-03-22T20:30	Similarité :1.0
<http://data.doremus.org/performance/d9ea7639-de11-3fbd-a5e0-0487595c5cff>	0241240.ttl	Chamber orchestra of Europe	2018-03-29T21:47	
				
<http://data.doremus.org/performance/1a56e637-367d-353c-b28b-e55090faf32a>	15268.ttl	Chamber Orchestra of Europe	2016-03-22T20:30	Similarité :1.0
<http://data.doremus.org/performance/79332ad1-10e5-3d83-9da3-f34a0e5bc935>	0241078.ttl	Chamber orchestra of Europe	2018-03-29T21:46	
				
<http://data.doremus.org/performance/5e953dfd-e87d-38f1-9849-a81249a0e21a>	15281.ttl	London Symphony Orchestra	2016-04-12T20:30	Similarité :1.0
<http://data.doremus.org/performance/3d25a05c-b9be-3da5-b6bf-72db19b529e9>	0960360.ttl	London Symphony Orchestra	2011-03-28T20:00	
				
<http://data.doremus.org/performance/f445708d-13f2-30d0-bd50-cadc9ad1df1c>	13301.ttl	Maurizio Pollini 	2013-11-14T20:00	Similarité :1.0
<http://data.doremus.org/performance/21a2603d-10a5-3ed8-86b9-09fdbe6d0955>	0947333.ttl	Maurizio Pollini	2018-03-29T21:44	
				
<http://data.doremus.org/performance/aa479cc2-d11a-3ded-8b93-509a26b83fda>	14280.ttl	Orchestre du Théâtre Mariinsky - Valery Gergiev	2018-03-22T17:09	Similarité :1.0
