URI	Nom du Fichier	P102 has title	"P4 has time-span 
U8 foresees time span"	Similarité
				
				
MEME DATE – TITRE LEGEREMENT DIFFERENT				
<http://data.doremus.org/performance/9db2e133-7efb-35d6-baf1-823aedbc7acf>	0981548.ttl	The Tiger Lillies : Low Life Lullabies	2012-02-09T20:00	
				
<http://data.doremus.org/performance/81b93993-afc6-376b-8392-519b358b46f4>	12684.ttl	Orchestre Philharmonique de Radio France - Daniel Harding	2013-03-29T20:00	Similarité :0.8055000000000001
<http://data.doremus.org/performance/6604b8bf-62f6-3168-93a1-95c57daa8197>	1000295.ttl	Orchestre Philharmonique de Radio France, Daniel Harding. La Chute de Fukuyama (opéra vidéo)	2013-03-29T20:00	
				
<http://data.doremus.org/performance/ddd97524-cae9-33da-9cb4-ffb9fd80557a>	11451.ttl	Hélène Grimaud / Kammerorchester des Bayerischen Rundfunk	2011-11-05T20:00	Similarité :0.6285000000000001
<http://data.doremus.org/performance/46ace278-c490-328b-9606-628ab5b64bdb>	0977016.ttl	Domaine privé Hélène Grimaud : Kammerorchester des Bayerischen Rundfunks, Hélène Grimaud, Radoslaw Szulc	2011-11-05T20:00	
				
<http://data.doremus.org/performance/b91c1d02-ff14-3597-b772-2849e2510df7>	11522.ttl	Solistes de l'Ensemble intercontemporain	2012-02-11T20:00	Similarité :0.77
<http://data.doremus.org/performance/c4e134d6-e8bc-3f05-9706-63e1bfe5a761>	1005569.ttl	Des pieds et des mains. Solistes de l'Ensemble intercontemporain	2012-02-11T20:00	
				
<http://data.doremus.org/performance/60da1c7a-958d-36cc-b4e1-b2c8e97b0865>	12097.ttl	Medeski, Martin & Wood / Steven Bernstein & The Millennial Territory Orchestra play Sly	2011-09-11T17:00	Similarité :0.692
<http://data.doremus.org/performance/36835a86-4f66-3cc0-afd8-b9b3fa50667b>	0975146.ttl	Jazz à la Villette. Steven Bernstein & The Millennial Territory Orchestra play Sly & The Family Stone	2011-09-11T17:00	
				
<http://data.doremus.org/performance/095dc780-3801-3c83-a463-f1df97559514>	12409.ttl	Orchestre Philharmonique de Radio France - Santtu-Matias Rouvali - Anu Komsi 	2013-04-19T20:00	Similarité :0.732
<http://data.doremus.org/performance/87104ee0-ef87-3a58-b16d-523b7f22ac27>	1002176.ttl	Domaine privé Kaija Saariaho. Orchestre Philharmonique de Radio France, Santtu-Matias Rouvali, Anu Komsi	2013-04-19T20:00	
				
<http://data.doremus.org/performance/d1a31fab-3333-3dd6-b365-c0dba6631d91>	12829.ttl	Orchestre Philharmonique de Radio France - Orchestre Unhasu	2012-03-14T20:30	Similarité :0.8685
<http://data.doremus.org/performance/08cb410c-d23f-32c3-840c-903f815f120f>	0983961.ttl	Orchestre Philharmonique de Radio France, Orchestre Unhasu, Myung-Whun Chung	2012-03-14T20:30	
				
<http://data.doremus.org/performance/6b59172a-ef6f-3dab-91f7-fbf4655d7fb2>	11452.ttl	Jan Vogler / Hélène Grimaud	2011-11-06T16:30	Similarité :0.6930000000000001
<http://data.doremus.org/performance/6bc4f976-29a2-3d56-bb88-28563eb94b8a>	0976426.ttl	Domaine privé. Hélène Grimaud	2011-11-06T16:30	
				
<http://data.doremus.org/performance/f0a39f7c-e5d7-3093-b86f-c965011c77cb>	13270.ttl	Orchestre Symphonique d'Etat de São Paulo - Nelson Freire - Marin Alsop	2013-10-07T20:00	Similarité :0.7989999999999999
<http://data.doremus.org/performance/6a10165b-40e0-39b7-8757-b3a74ee87b6c>	1009521.ttl	Orchestre Symphonique d'Etat de São Paulo, Marin Alsop, Nelson Freire	2013-10-07T20:00	
				
<http://data.doremus.org/performance/501d9fd7-a9c6-3ac7-b681-ec7aaeeb849f>	13284.ttl	Bach, concertos pour piano - Orchestre de chambre de Lausanne	2013-10-22T20:00	Similarité :0.8855
<http://data.doremus.org/performance/dd741428-8408-3d20-80f5-39d8a049ce42>	1010107.ttl	Bach, concertos pour clavier, Orchestre de chambre de Lausanne	2013-10-22T20:00	
				
<http://data.doremus.org/performance/fb9cf501-0d42-32b6-82ac-7b41b7afac40>	13174.ttl	Buzzcocks / Frustration	2013-10-24T20:00	Similarité :0.7
<http://data.doremus.org/performance/250858ea-350c-3539-964d-578d430034c4>	1010119.ttl	Europunk. Frustration	2013-10-24T20:00	
				
<http://data.doremus.org/performance/72625181-fab6-3221-aacf-0a7eeb284b1a>	11437.ttl	Poulenc/La voix humaine/Karen Vourc'h/Ensemble Orchestral de Paris	2011-09-20T20:00	Similarité :0.6665
<http://data.doremus.org/performance/c77812de-0462-3a17-837b-9ae338046ae0>	0974273.ttl	Passions, le désordre amoureux. Ensemble Orchestral de Paris	2011-09-20T20:00	
