URI	Nom du Fichier	P102 has title	P4 has time-span U8 foresees time span	Similarité
<http://data.doremus.org/performance/cc0e1e56-c3bb-3692-b287-20bf996620d3>	13533.ttl	Bob van Asperen - Olivier Baumont	2014-03-21T21:00	Similarité :0.4575
<http://data.doremus.org/performance/86c3c572-1bba-319a-a0a1-fbfaf64872ba>	1015040.ttl	Johann Sebastian Bach. Les Tempéraments, In memoriam Gustav Leonhardt	2014-03-21T21:00	
				
<http://data.doremus.org/performance/c822a105-cbaf-3621-90bd-7a68073e9454>	13522.ttl	Kenneth Weiss	2014-03-16T16:30	Similarité :0.389
<http://data.doremus.org/performance/d9fec198-2b1d-3a21-b468-d4aed2fccdd7>	1015030.ttl	Johann Sebastian Bach. Les Tempéraments	2014-03-16T16:30	
				
<http://data.doremus.org/performance/c822a105-cbaf-3621-90bd-7a68073e9454>	13522.ttl	Kenneth Weiss	2014-03-16T16:30	Similarité :0.3015
<http://data.doremus.org/performance/1eda96be-f3d1-3faf-a10a-b9e657ef4980>	0950803.ttl	Orchestre de Paris, Paavo Järvi, Vadim Repin	2014-03-16T16:30	
				
<http://data.doremus.org/performance/cc91b140-48ad-3785-bfa0-22370d74d741>	16605.ttl	Mécaniques Célestes	2016-11-15T20:30	Similarité :0.6515
<http://data.doremus.org/performance/bbbf0b60-5c65-3e38-b301-edeb7c413912>	1059032.ttl	Mécaniques célestes. Ensemble intercontemporain	2016-11-15T20:30	
				
<http://data.doremus.org/performance/0b0322cb-7ba3-3cd2-b20d-6ce024614d2a>	13135.ttl	Ensemble intercontemporain - Matthias Pintscher	2013-11-08T20:00	Similarité :0.446
<http://data.doremus.org/performance/ab518472-3c2e-3cd1-9157-8f0892cb6747>	1010650.ttl	Orchestre Philharmonique de Radio France, Myung-Whun Chung, Nicolas Baldeyrou, Christophe Henry	2013-11-08T20:00	
				
<http://data.doremus.org/performance/a2b0d459-7df7-3b7b-9d56-7538a6d8067c>	16871.ttl	Beethoven 	2016-10-15T17:00	Similarité :0.265
<http://data.doremus.org/performance/954af6af-92c7-3301-805d-8c7313833c10>	1057932.ttl	Cycle Ludwig van. Fantaisie. Insula Orchestra, Accentus	2016-10-15T17:00	
				
<http://data.doremus.org/performance/2c1f2aa9-4be8-303c-9d1b-47f61a44fa97>	16545.ttl	Grand soir	2016-09-24T20:30	Similarité :0.301
<http://data.doremus.org/performance/4882b79c-6d45-3888-ad1a-4a141dbaad0b>	1057075.ttl	Week-end Bryce Dessner Counter-Points. Grand soir. Bryce Dessner, Matthias Pintscher, Ensemble intercontemporain	2016-09-24T20:30	
				
<http://data.doremus.org/performance/ab93738d-ec25-39c4-a7a9-8b02558444a7>	16835.ttl	Fantaisie	2016-10-15T17:00	Similarité :0.381
<http://data.doremus.org/performance/954af6af-92c7-3301-805d-8c7313833c10>	1057932.ttl	Cycle Ludwig van. Fantaisie. Insula Orchestra, Accentus	2016-10-15T17:00	
				
<http://data.doremus.org/performance/c4d71623-a795-3645-9aad-718d6fedba0f>	14186.ttl	Orchestre Philharmonique de Radio France - Vasily Petrenko - Baïba Skride	2014-10-17T20:00	Similarité :0.4485
<http://data.doremus.org/performance/1d0a435f-0640-3f88-88e2-76c63dd79fa4>	1023309.ttl	Ensemble intercontemporain, Matthias Pintscher	2014-10-17T20:00	
				
<http://data.doremus.org/performance/e75ff38c-01b0-35cd-aca2-fec21ab11ac4>	14029.ttl	Les Dissonances - David Grimal	2014-10-21T20:00	Similarité :0.427
<http://data.doremus.org/performance/488d8e25-8bc9-38d5-9bc8-ee5aa8421420>	0241205.ttl	Cité-chanson. Chansons de l'Océan indien. Danyel Waro (La Réunion)	2014-10-21T20:00	
				
<http://data.doremus.org/performance/28ecf2c6-e15c-3d0a-84bc-1b68c49e2c0b>	14520.ttl	Festival de Jérusalem	2015-02-10T20:30	Similarité :0.4005
<http://data.doremus.org/performance/e5244d2c-5767-3bba-9f0c-b622aa473e8a>	1030359.ttl	Tindersticks	2015-02-10T20:30	
				
<http://data.doremus.org/performance/8862bd0c-1419-30b2-b602-f6b7f12d178b>	13238.ttl	Univers parallèles	2014-06-18T20:00	Similarité :0.559
<http://data.doremus.org/performance/ac1c38a9-a5e9-3830-bc37-ff4455897231>	1019812.ttl	Visions du monde. Univers parallèles : rencontre	2014-06-18T20:00	
				
<http://data.doremus.org/performance/abc0040b-6787-3c54-9287-f6083a1b0835>	14211.ttl	The Divine Comedy	2015-02-11T20:30	Similarité :0.351
<http://data.doremus.org/performance/77887466-9b10-33a3-9732-0203bee7f372>	0890256.ttl	Orchestre National de Montpellier Languedoc-Roussillon	2015-02-11T20:30	
				
<http://data.doremus.org/performance/676b8d1e-d2f4-34f9-a142-b1062df88943>	15199.ttl	Orchestre de Paris 	2015-02-11T20:30	Similarité :0.344
<http://data.doremus.org/performance/85397dd1-dae9-3e89-9631-c58583d850ba>	1030372.ttl	The Divine Comedy	2015-02-11T20:30	
				
<http://data.doremus.org/performance/676b8d1e-d2f4-34f9-a142-b1062df88943>	15199.ttl	Orchestre de Paris 	2015-02-11T20:30	Similarité :0.5445
<http://data.doremus.org/performance/77887466-9b10-33a3-9732-0203bee7f372>	0890256.ttl	Orchestre National de Montpellier Languedoc-Roussillon	2015-02-11T20:30	
				
<http://data.doremus.org/performance/f9264539-6237-37e4-9a1f-fc0b33d87ef2>	14182.ttl	Gautier Capuçon / Yuja Wang 	2014-10-11T20:00	Similarité :0.368
<http://data.doremus.org/performance/2243e6b4-5285-3717-bcc6-b22777409c16>	1022328.ttl	Guerre et Paix I. Bataille et victoire	2014-10-11T20:00	
				
<http://data.doremus.org/performance/daa796d9-b9f1-36cc-8fd3-891609e36e60>	15435.ttl	Angélique Kidjo & Philip Glass	2015-10-03T20:30	Similarité :0.587
<http://data.doremus.org/performance/853c7da1-1050-34f8-8f12-f5a1b4173b1a>	1041702.ttl	Week-end Dialogues des cultures. Angélique Kidjo et Philip Glass	2015-10-03T20:30	
				
<http://data.doremus.org/performance/5d04ed87-4c89-30d1-a941-1e0afd364012>	15538.ttl	Quatuor Modigliani	2016-01-24T11:00	Similarité :0.521
<http://data.doremus.org/performance/f2d5153c-ef96-3b92-9a69-5ea8fbd950a8>	1046555.ttl	Biennale de quatuors à cordes. Quatuor Modigliani	2016-01-24T11:00	
				
<http://data.doremus.org/performance/90664e00-b22a-31cd-b83a-fb9cf5d4e02c>	13191.ttl	Les Arts Florissants	2014-01-16T20:00	Similarité :0.29400000000000004
<http://data.doremus.org/performance/1f331cd5-0328-3ab0-b4c2-5c14f3173ae2>	1012675.ttl	Intervalle. Paul Agnew, madrigaux livre VI	2014-01-16T20:00	
				
<http://data.doremus.org/performance/2847226e-5a1a-32db-8631-60ff8ae2728d>	14108.ttl	Insula Orchestra - Laurence Equilbey	2015-03-23T20:30	Similarité :0.6579999999999999
<http://data.doremus.org/performance/4d3ab070-cdbc-3cb2-b600-031d7ddd3427>	1031330.ttl	Insula Orchestra, symphonies d'un monde nouveau	2015-03-23T20:30	
				
<http://data.doremus.org/performance/c9cc1dd9-7ba1-3fea-947a-e62645e47bed>	15529.ttl	Quatuor Borodine	2016-01-20T20:30	Similarité :0.4495
<http://data.doremus.org/performance/600823eb-b42e-353d-a9a7-6b25f56c9b23>	1045740.ttl	Biennale de quatuors à cordes. Quatuor Borodine. Concert des 70 ans	2016-01-20T20:30	
				
<http://data.doremus.org/performance/08737546-a99f-3498-8544-fbefd90948c4>	15331.ttl	La Force du Destin	2016-05-30T20:30	Similarité :0.6005
