17528.ttl	borealbee&annejameschatonnosfuturs?marcducret&journalintime $date:2016-09-02T21:00	Boreal Bee & Anne-James Chaton (Nos Futurs?) / Marc Ducret & Journal Intime
15168.ttl	orchestreparis $date:2018-03-22T17:09	Orchestre de Paris
16603.ttl	pulse $date:2018-03-22T17:09	Pulse
14533.ttl	chillygonzales&kaiserquartett $date:2018-03-22T17:09	Chilly Gonzales & Kaiser Quartett
17533.ttl	eriktruffazquartetfeatrokiatraoregogopenguin $date:2016-09-07T20:00	Erik Truffaz Quartet feat. Rokia Traoré / GoGo Penguin
13577.ttl	guybraunsteinzviplessersunwookkim $date:2014-03-08T20:00	Guy Braunstein - Zvi Plesser - Sunwook Kim
17235.ttl	orchestrenationaljazz $date:2016-09-02T20:00	Orchestre National de Jazz
15184.ttl	vepresvierge $date:2015-11-18T20:30	Les Vêpres de la Vierge
14139.ttl	winterreise $date:2015-06-07T16:30	Winterreise
14354.ttl	quintetteventhaydncage $date:2014-12-07T11:00	Le Quintette à vent, de Haydn à Cage
14266.ttl	orchestreparisalexandervedernikovborisberezovsky $date:2015-04-08T20:30	Orchestre de Paris / Alexander Vedernikov / Boris Berezovsky
13234.ttl	quatuorysaÿeisabelcharisiusvalentinerbenjeanclaudepennetier $date:2014-01-24T20:30	Quatuor Ysaÿe - Isabel Charisius - Valentin Erben - Jean-Claude Pennetier 
14097.ttl	octuormendelssohn $date:2015-04-18T17:00	Octuor de Mendelssohn
13183.ttl	ensemblecaelis $date:2014-05-07T20:00	Ensemble De Caelis
14378.ttl	mariinskystradivariusensemblevalerygergiev $date:2015-03-26T20:30	Mariinsky Stradivarius Ensemble - Valery Gergiev
14569.ttl	cascadeurfeatmedericcollignon $date:2014-09-10T20:00	Cascadeur feat. Médéric Collignon
13576.ttl	guybraunsteinzviplessersunwookkim $date:2014-06-16T20:00	Guy Braunstein - Zvi Plesser - Sunwook Kim
13316.ttl	orchestretheatremariinskyvalerygergievdaniiltrifonov $date:2013-12-01T16:00	Orchestre du Théâtre Mariinsky - Valery Gergiev - Daniil Trifonov 
14565.ttl	melaniebiasio $date:2014-09-08T20:00	Melanie De Biasio
13384.ttl	orchestrephilharmoniqueradiofranceesapekkasalonen $date:2014-03-14T20:00	Orchestre Philharmonique de Radio France - Esa-Pekka Salonen
13147.ttl	livrevermeilmontserrat $date:2013-11-26T20:00	Le livre vermeil de Montserrat
13299.ttl	theclevelandorchestrafranzwelsermost $date:2013-11-12T20:00	The Cleveland Orchestra - Franz Welser-Möst
14279.ttl	royalconcertgebouworchestraandrisnelsonsannesophiemutter $date:2015-03-10T20:30	Royal Concertgebouw Orchestra - Andris Nelsons - Anne-Sophie Mutter
14459.ttl	valentinalisitsa $date:2014-12-01T20:00	Valentina  Lisitsa 
15254.ttl	repastore $date:2016-03-18T20:30	Il Re pastore
15530.ttl	quatuorhugowolf $date:2016-01-21T19:00	Quatuor Hugo Wolf
13209.ttl	jeunessemoderne $date:2014-02-15T20:00	Une jeunesse moderne
16548.ttl	mephisto $date:2016-09-17T15:00	Méphisto
13380.ttl	janinejansenandfriends $date:2014-03-09T16:00	Janine Jansen and friends
15182.ttl	hommageclaudioabbadoconcertcaritatif $date:2015-11-09T20:30	Hommage à Claudio Abbado - Concert Caritatif 
16583.ttl	reverberations $date:2016-11-13T20:30	Réverbérations 
14535.ttl	dusapindurufle $date:2018-03-22T17:09	Dusapin - Duruflé
15330.ttl	mereoye $date:2016-05-29T16:30	Ma mère l’Oye
15146.ttl	magnificat $date:2015-12-17T20:30	Magnificat
13494.ttl	orchestrephilharmoniqueradiofrancequatuorarditti $date:2018-03-22T17:09	Orchestre Philharmonique de Radio France / Quatuor Arditti
15165.ttl	gewandhausorchesterleipzig $date:2015-10-10T20:30	Gewandhausorchester Leipzig
13416.ttl	artsflorissantspaulagnew $date:2014-04-19T20:00	Les Arts Florissants - Paul Agnew
13164.ttl	ouagadougou $date:2018-03-22T17:09	Ouagadougou
14364.ttl	jeannearcbuchermarioncotillard $date:2018-03-22T17:09	Jeanne d’Arc au Bûcher - Marion Cotillard
17522.ttl	nilspettermolvaerquartettigranjanbangeivindaarset&arvehenriksenatmospherequartet $date:2016-09-09T20:00	Nils Petter Molvaer Quartet / Tigran, Jan Bang, Eivind Aarset & Arve Henriksen (Atmosphere Quartet)
15513.ttl	sceneroifou $date:2016-05-27T20:30	Scène pour un roi fou
15537.ttl	quatuortetzlaff $date:2016-01-23T20:30	Quatuor Tetzlaff
14053.ttl	jeanfrancoisheisser $date:2014-11-11T20:00	Jean-François Heisser
13352.ttl	orchestrenationaliledefranceenriquemazzolamarkuswerba $date:2014-01-26T16:00	Orchestre National d'Île-de-France - Enrique Mazzola - Markus Werba
13513.ttl	aureliendelage $date:2014-03-14T19:00	Aurélien Delage
15463.ttl	noirlac $date:2015-11-17T20:30	Noirlac
16840.ttl	sonates $date:2018-03-22T17:09	Sonates
14043.ttl	histoiresoldat $date:2018-03-22T17:09	L'Histoire du soldat
15314.ttl	orchestreparis $date:2018-03-22T17:09	Orchestre de Paris
14572.ttl	archiesheppswingingthebluesfeatjoelouiswalker&aminaclaudinemyers $date:2014-09-14T19:00	Archie Shepp « Swinging The Blues\" feat. Joe Louis Walker & Amina Claudine Myers
16554.ttl	autourchet $date:2016-10-09T20:30	Autour de Chet
13182.ttl	accentus $date:2014-05-15T20:00	Accentus
15130.ttl	orchestrenationaliledefrance $date:2015-10-09T20:30	Orchestre national d’Île-de-France
13379.ttl	orchestrephilharmoniqueradiofranceadamfischertedipapavrami $date:2018-03-22T17:09	Orchestre Philharmonique de Radio France - Ádám Fischer - Tedi Papavrami
14192.ttl	chicagosymphonyorchestrariccardomuti $date:2014-10-26T16:00	Chicago Symphony Orchestra - Riccardo Muti
13150.ttl	fromeasttowest $date:2013-12-17T20:00	From East to West 
13527.ttl	christineschornsheim $date:2018-03-22T17:09	Christine Schornsheim
14288.ttl	orchestrenationaliledefrancenicholascollongianlucacascioli $date:2015-04-16T20:30	Orchestre National d'Île-de-France - Nicholas Collon - Gianluca Cascioli
15474.ttl	bourgeoisgentilhomme $date:2015-12-06T16:30	Le Bourgeois gentilhomme
15188.ttl	orchestreparis $date:2015-11-28T20:30	Orchestre de Paris
13329.ttl	messemineurensemblepygmalionraphaelpichon $date:2013-12-17T20:00	Messe en si mineur - Ensemble Pygmalion - Raphaël Pichon
16921.ttl	ernestranglin&friendsfeatcheikhlotonyallencourtneypineiracoleman&alexwilson $date:2016-08-31T20:00	Ernest Ranglin & friends feat. Cheikh Lô, Tony Allen, Courtney Pine, Ira Coleman & Alex Wilson
13197.ttl	kinshasa $date:2018-03-22T17:09	Kinshasa
15260.ttl	orchestreparis $date:2016-03-31T20:30	Orchestre de Paris
14509.ttl	musiquegeste $date:2015-03-14T15:00	Musique du geste 
13192.ttl	facecacheelune $date:2018-03-22T17:09	La Face cachée de la Lune
13219.ttl	chambrephilharmonique $date:2018-03-22T17:09	La Chambre Philharmonique
14169.ttl	belleexcentrique $date:2014-11-29T20:00	La Belle Excentrique
13204.ttl	turbulencesweekendensembleintercontemporainmatthiaspintschernouvellesdirections $date:2018-03-22T17:09	Turbulences - Week end ensemble intercontemporain - Matthias Pintscher - Nouvelle(s) direction(s) 
14471.ttl	peergynt $date:2018-03-22T17:09	Peer Gynt
14410.ttl	ensemblepygmalion $date:2018-03-22T17:09	Ensemble Pygmalion
15154.ttl	waltraudmeier $date:2015-12-08T20:30	Waltraud Meier
15519.ttl	quatuorzaide $date:2016-01-16T11:00	Quatuor Zaïde
16875.ttl	beethoven $date:2016-10-17T20:30	Beethoven 
15455.ttl	toumani&sidikidiabate $date:2015-11-15T18:00	Toumani & Sidiki Diabaté
15266.ttl	womeninlove $date:2018-03-22T17:09	Women in love
15136.ttl	berlinerphilharmoniker $date:2015-11-05T20:30	Berliner Philharmoniker
15223.ttl	arcenciel $date:2018-03-22T17:09	Arc-en-ciel
14037.ttl	concertpoilu $date:2014-11-14T20:00	Concert poilu
15233.ttl	sonatesmozart $date:2018-03-22T17:09	Sonates de Mozart
16536.ttl	staatskapelleberlindanielbarenboim $date:2016-09-09T20:30	Staatskapelle Berlin / Daniel Barenboim
14240.ttl	deum $date:2015-06-20T16:00	Te Deum
16874.ttl	beethoven $date:2016-10-16T15:00	Beethoven 
14273.ttl	carminaburana $date:2015-03-28T17:00	Carmina Burana
13502.ttl	quatuorborodine $date:2014-01-23T20:30	Quatuor Borodine
14049.ttl	swrsinfonieorchesterbadenbadenundfreiburg $date:2014-11-18T20:00	SWR Sinfonieorchester Baden Baden und Freiburg
14253.ttl	orchestreparischœurorchestreparisjaapvanzweden $date:2015-05-06T20:30	Orchestre de Paris / Chœur de l’Orchestre de Paris / Jaap van Zweden
13434.ttl	annesophiemutter $date:2014-05-17T20:00	Anne-Sophie Mutter
15187.ttl	alexandretharaud $date:2015-11-23T20:30	Alexandre Tharaud
14550.ttl	folksongs $date:2018-03-22T17:09	Folk Songs
14242.ttl	orchestreparispaavojärvivadimrepin $date:2015-06-18T20:30	Orchestre de Paris / Paavo Järvi / Vadim Repin
16559.ttl	huitiemesymphonie $date:2016-10-16T11:00	Huitième Symphonie
15160.ttl	chantterre $date:2018-03-22T17:09	Chant de la Terre
13696.ttl	orchestrebeethoven $date:2014-05-23T14:30	L'orchestre, de Beethoven à aujourd'hui
13389.ttl	orchestreconservatoireparisemmanuelkrivinebrigittepinter $date:2014-03-22T20:00	Orchestre du Conservatoire de Paris - Emmanuel Krivine - Brigitte Pinter
13325.ttl	sunwookkim $date:2018-03-22T17:09	Sunwook Kim 
13334.ttl	orchestrenationaliledefranceenriquemazzolaromainleleu $date:2013-12-22T16:00	Orchestre National d'Île-de-France - Enrique Mazzola - Romain Leleu
13311.ttl	orchestreparisbertrandbilly $date:2013-11-30T20:00	Orchestre de Paris - Bertrand de Billy
16839.ttl	martha&friends $date:2016-10-17T20:30	Martha & Friends
13310.ttl	ceciliabartolikammerorchesterbaselmuhaitang $date:2013-11-26T20:00	Cecilia Bartoli - Kammerorchester Basel - Muhai Tang
13422.ttl	leylamajnunamourmystique $date:2014-04-27T16:00	Leylâ et Majnûn ou L'Amour mystique
14337.ttl	cineconcertfamillecharlotsoldat $date:2014-11-09T16:00	Ciné-concert en famille \"Charlot Soldat\"
14571.ttl	mulatuastatkehiatuskaiyote $date:2018-03-22T17:09	Mulatu Astatke / Hiatus Kaiyote
16606.ttl	amourtortue $date:2018-03-22T17:09	Un Amour de Tortue
14287.ttl	invitationvalse $date:2015-04-19T16:30	Invitation à la valse
14185.ttl	orchestreparisguennadirozhdestvenskyviktoriapostnikova $date:2014-10-15T20:00	Orchestre de Paris - Guennadi Rozhdestvensky - Viktoria Postnikova
14564.ttl	robinmckelle&theflytonesstaxsoulsession $date:2014-09-07T20:00	Robin McKelle & The Flytones \"Stax Soul Session\"
16568.ttl	bonheurbrahms $date:2016-10-11T20:30	Le bonheur selon Brahms
14191.ttl	chicagosymphonyorchestrariccardomuti $date:2014-10-25T20:00	Chicago Symphony Orchestra - Riccardo Muti
13236.ttl	ombrevesuve $date:2014-04-08T20:00	A l'ombre du Vésuve
15211.ttl	benjaminappl $date:2018-03-22T17:09	Benjamin Appl
15198.ttl	orchestreparis $date:2016-01-07T20:30	Orchestre de Paris
13831.ttl	tracesrichardwagner $date:2018-03-22T17:09	Sur les traces de Richard Wagner
13213.ttl	orchestreconservatoireparispatrickdavinnicholasangelich $date:2014-02-01T20:00	Orchestre du Conservatoire de Paris - Patrick Davin - Nicholas Angelich
15152.ttl	louisxivmusiques $date:2015-12-05T20:30	Louis XIV et ses musiques 
14270.ttl	mauriziopollini $date:2015-03-30T20:30	Maurizio Pollini
14073.ttl	amouroperasmozart $date:2015-02-15T15:00	L’Amour dans les opéras de Mozart
14195.ttl	artsflorissantswilliamchristie $date:2015-01-16T20:30	Les Arts Florissants - William Christie
16546.ttl	bachcantates $date:2016-09-27T20:30	Bach Cantates
13152.ttl	brusselsphilharmonicmicheltabachnik $date:2018-03-22T17:09	Brussels Philharmonic - Michel Tabachnik
13456.ttl	orchestrenationallyonleonardslatkinveroniqueandredussolier $date:2018-03-22T17:09	Orchestre National de Lyon - Leonard Slatkin - Véronique Gens -  André Dussolier
13479.ttl	soudainforetprofonde $date:2014-01-25T11:00	Soudain dans la forêt profonde
14628.ttl	antoinehervetrioleconjazzdavebrubecktimeout $date:2014-09-06T15:00	Antoine Hervé Trio - Lecon de jazz Dave Brubeck \"Time Out\"
14457.ttl	sacresymphonique $date:2015-05-23T11:00	Sacré symphonique!
13214.ttl	turbulencesweekendensembleintercontemporainmatthiaspintschernouvellesdirections $date:2014-02-07T20:00	Turbulences - Week end ensemble intercontemporain - Matthias Pintscher - Nouvelle(s) direction(s) 
14220.ttl	bradmehldautrio $date:2015-04-11T20:30	Brad Mehldau Trio
17640.ttl	coaxbrazilmashup $date:2016-09-11T17:00	Coax Brazil Mashup
15171.ttl	theclevelandorchestra $date:2018-03-22T17:09	The Cleveland Orchestra
14143.ttl	heinelieder $date:2018-03-22T17:09	Heine Lieder
13358.ttl	borisgodounovorchestrenationalcapitoletoulousetugansokhiev $date:2014-02-05T20:00	Boris Godounov - Orchestre National du Capitole de Toulouse - Tugan Sokhiev
15177.ttl	bachinindia $date:2018-03-22T17:09	Bach in India
13419.ttl	orchestreparispaavojärvinicholasangelich $date:2014-04-24T20:00	Orchestre de Paris - Paavo Järvi - Nicholas Angelich
13690.ttl	scenesorchestrelaureatsconservatoireparis $date:2014-02-22T20:00	Avant Scènes - Orchestre des Lauréats du Conservatoire de Paris
14174.ttl	orchestreparispaavojärvixavierphillips $date:2018-03-22T17:09	Orchestre de Paris - Paavo Järvi - Xavier Phillips
13382.ttl	orchestreparismarekjanowskianjaharteros $date:2018-03-22T17:09	Orchestre de Paris - Marek Janowski - Anja Harteros
14190.ttl	matthiasgoernechristopheschenbach $date:2014-10-24T20:00	Matthias Goerne / Christoph Eschenbach
14177.ttl	theclevelandorchestrafranzwelsermost $date:2014-09-21T16:00	The Cleveland Orchestra - Franz Welser-Möst
14221.ttl	christhile&bradmehldauduo $date:2015-04-12T16:30	Chris Thile & Brad Mehldau Duo
14259.ttl	messe $date:2015-04-03T20:30	Messe en si
13353.ttl	alexeivolodin $date:2014-01-27T20:00	Alexei Volodin
14461.ttl	tindersticks $date:2015-02-10T20:30	Tindersticks
14227.ttl	murrayperahia $date:2015-06-08T20:30	Murray Perahia
